review_id,review_text,rating,sentiment,cleaned_review_text
1,fast shipping and amazing performance,5,positive,fast shipping amazing performance
2,fast shipping and amazing performance,4,positive,fast shipping amazing performance
3,customer service was unhelpful,2,negative,customer service unhelpful
4,super easy to use and works perfectly,4,positive,super easy use work perfectly
5,fast shipping and amazing performance,5,positive,fast shipping amazing performance
6,cheap materials and bad design,2,negative,cheap material bad design
7,the product is okay but nothing special,3,neutral,product okay nothing special
8,really love this item and would buy again,4,positive,really love item would buy
9,works as expected but shipping was slow,3,neutral,work expected shipping slow
10,the product is okay but nothing special,3,neutral,product okay nothing special
11,acceptable performance overall,3,neutral,acceptable performance overall
12,not bad but could be better,3,neutral,bad could better
13,average quality for the price,3,neutral,average quality price
14,fast shipping and amazing performance,4,positive,fast shipping amazing performance
15,fast shipping and amazing performance,5,positive,fast shipping amazing performance
16,really love this item and would buy again,4,positive,really love item would buy
17,completely stopped working after a few days,1,negative,completely stopped working day
18,does the job but has some flaws,3,neutral,job flaw
19,product is fine but packaging was damaged,3,neutral,product fine packaging damaged
20,average quality for the price,3,neutral,average quality price
21,super easy to use and works perfectly,4,positive,super easy use work perfectly
22,works as expected but shipping was slow,3,neutral,work expected shipping slow
23,fast shipping and amazing performance,4,positive,fast shipping amazing performance
24,works as expected but shipping was slow,3,neutral,work expected shipping slow
25,customer service was unhelpful,2,negative,customer service unhelpful
26,completely stopped working after a few days,2,negative,completely stopped working day
27,item arrived damaged and unusable,1,negative,item arrived damaged unusable
28,works as expected but shipping was slow,3,neutral,work expected shipping slow
29,acceptable performance overall,3,neutral,acceptable performance overall
30,fast shipping and amazing performance,4,positive,fast shipping amazing performance
31,waste of money and poor performance,2,negative,waste money poor performance
32,item arrived damaged and unusable,2,negative,item arrived damaged unusable
33,this product works great and exceeded my expectations,4,positive,product work great exceeded expectation
34,very durable and reliable product,5,positive,durable reliable product
35,not bad but could be better,3,neutral,bad could better
36,terrible quality and broke after one week,1,negative,terrible quality broke one week
37,does the job but has some flaws,3,neutral,job flaw
38,very durable and reliable product,5,positive,durable reliable product
39,very durable and reliable product,4,positive,durable reliable product
40,terrible quality and broke after one week,2,negative,terrible quality broke one week
41,works as expected but shipping was slow,3,neutral,work expected shipping slow
42,great value for the price,5,positive,great value price
43,waste of money and poor performance,1,negative,waste money poor performance
44,terrible quality and broke after one week,2,negative,terrible quality broke one week
45,terrible quality and broke after one week,2,negative,terrible quality broke one week
46,cheap materials and bad design,1,negative,cheap material bad design
47,does the job but has some flaws,3,neutral,job flaw
48,not bad but could be better,3,neutral,bad could better
49,excellent quality and very satisfied with the purchase,5,positive,excellent quality satisfied purchase
50,great value for the price,5,positive,great value price
51,completely stopped working after a few days,2,negative,completely stopped working day
52,excellent quality and very satisfied with the purchase,4,positive,excellent quality satisfied purchase
53,fast shipping and amazing performance,4,positive,fast shipping amazing performance
54,this product works great and exceeded my expectations,4,positive,product work great exceeded expectation
55,great value for the price,4,positive,great value price
56,waste of money and poor performance,2,negative,waste money poor performance
57,works as expected but shipping was slow,3,neutral,work expected shipping slow
58,great value for the price,4,positive,great value price
59,item arrived damaged and unusable,1,negative,item arrived damaged unusable
60,completely stopped working after a few days,1,negative,completely stopped working day
61,not bad but could be better,3,neutral,bad could better
62,acceptable performance overall,3,neutral,acceptable performance overall
63,excellent quality and very satisfied with the purchase,5,positive,excellent quality satisfied purchase
64,very durable and reliable product,5,positive,durable reliable product
65,acceptable performance overall,3,neutral,acceptable performance overall
66,works as expected but shipping was slow,3,neutral,work expected shipping slow
67,product is fine but packaging was damaged,3,neutral,product fine packaging damaged
68,item arrived damaged and unusable,1,negative,item arrived damaged unusable
69,does the job but has some flaws,3,neutral,job flaw
70,acceptable performance overall,3,neutral,acceptable performance overall
71,excellent quality and very satisfied with the purchase,5,positive,excellent quality satisfied purchase
72,really love this item and would buy again,5,positive,really love item would buy
73,terrible quality and broke after one week,1,negative,terrible quality broke one week
74,completely stopped working after a few days,2,negative,completely stopped working day
75,very disappointed with this product,1,negative,disappointed product
76,not bad but could be better,3,neutral,bad could better
77,terrible quality and broke after one week,2,negative,terrible quality broke one week
