review_id,review_text,rating,sentiment
1,fast shipping and amazing performance,5,positive
2,fast shipping and amazing performance,4,positive
3,customer service was unhelpful,2,negative
4,super easy to use and works perfectly,4,positive
5,fast shipping and amazing performance,5,positive
6,cheap materials and bad design,2,negative
7,the product is okay but nothing special,3,neutral
8,really love this item and would buy again,4,positive
9,works as expected but shipping was slow,3,neutral
10,the product is okay but nothing special,3,neutral
11,acceptable performance overall,3,neutral
12,not bad but could be better,3,neutral
13,average quality for the price,3,neutral
14,fast shipping and amazing performance,4,positive
15,fast shipping and amazing performance,5,positive
16,really love this item and would buy again,4,positive
17,completely stopped working after a few days,1,negative
18,does the job but has some flaws,3,neutral
19,product is fine but packaging was damaged,3,neutral
20,average quality for the price,3,neutral
21,super easy to use and works perfectly,4,positive
22,works as expected but shipping was slow,3,neutral
23,fast shipping and amazing performance,4,positive
24,works as expected but shipping was slow,3,neutral
25,customer service was unhelpful,2,negative
26,completely stopped working after a few days,2,negative
27,item arrived damaged and unusable,1,negative
28,works as expected but shipping was slow,3,neutral
29,acceptable performance overall,3,neutral
30,fast shipping and amazing performance,4,positive
31,waste of money and poor performance,2,negative
32,item arrived damaged and unusable,2,negative
33,this product works great and exceeded my expectations,4,positive
34,very durable and reliable product,5,positive
35,not bad but could be better,3,neutral
36,terrible quality and broke after one week,1,negative
37,does the job but has some flaws,3,neutral
38,very durable and reliable product,5,positive
39,very durable and reliable product,4,positive
40,terrible quality and broke after one week,2,negative
41,works as expected but shipping was slow,3,neutral
42,great value for the price,5,positive
43,waste of money and poor performance,1,negative
44,terrible quality and broke after one week,2,negative
45,terrible quality and broke after one week,2,negative
46,cheap materials and bad design,1,negative
47,does the job but has some flaws,3,neutral
48,not bad but could be better,3,neutral
49,excellent quality and very satisfied with the purchase,5,positive
50,great value for the price,5,positive
51,completely stopped working after a few days,2,negative
52,excellent quality and very satisfied with the purchase,4,positive
53,fast shipping and amazing performance,4,positive
54,this product works great and exceeded my expectations,4,positive
55,great value for the price,4,positive
56,waste of money and poor performance,2,negative
57,works as expected but shipping was slow,3,neutral
58,great value for the price,4,positive
59,item arrived damaged and unusable,1,negative
60,completely stopped working after a few days,1,negative
61,not bad but could be better,3,neutral
62,acceptable performance overall,3,neutral
63,excellent quality and very satisfied with the purchase,5,positive
64,very durable and reliable product,5,positive
65,acceptable performance overall,3,neutral
66,works as expected but shipping was slow,3,neutral
67,product is fine but packaging was damaged,3,neutral
68,item arrived damaged and unusable,1,negative
69,does the job but has some flaws,3,neutral
70,acceptable performance overall,3,neutral
71,excellent quality and very satisfied with the purchase,5,positive
72,really love this item and would buy again,5,positive
73,terrible quality and broke after one week,1,negative
74,completely stopped working after a few days,2,negative
75,very disappointed with this product,1,negative
76,not bad but could be better,3,neutral
77,terrible quality and broke after one week,2,negative
78,completely stopped working after a few days,2,negative
79,very durable and reliable product,5,positive
80,acceptable performance overall,3,neutral
81,this product works great and exceeded my expectations,5,positive
82,item arrived damaged and unusable,1,negative
83,this product works great and exceeded my expectations,5,positive
84,item arrived damaged and unusable,2,negative
85,acceptable performance overall,3,neutral
86,really love this item and would buy again,4,positive
87,cheap materials and bad design,2,negative
88,really love this item and would buy again,4,positive
89,item arrived damaged and unusable,1,negative
90,great value for the price,5,positive
91,very durable and reliable product,5,positive
92,item arrived damaged and unusable,2,negative
93,terrible quality and broke after one week,2,negative
94,average quality for the price,3,neutral
95,item arrived damaged and unusable,2,negative
96,does the job but has some flaws,3,neutral
97,the product is okay but nothing special,3,neutral
98,average quality for the price,3,neutral
99,average quality for the price,3,neutral
100,product is fine but packaging was damaged,3,neutral
101,this product works great and exceeded my expectations,4,positive
102,really love this item and would buy again,5,positive
103,does the job but has some flaws,3,neutral
104,this product works great and exceeded my expectations,5,positive
105,fast shipping and amazing performance,4,positive
106,this product works great and exceeded my expectations,5,positive
107,not bad but could be better,3,neutral
108,completely stopped working after a few days,2,negative
109,very durable and reliable product,4,positive
110,great value for the price,5,positive
111,the product is okay but nothing special,3,neutral
112,excellent quality and very satisfied with the purchase,5,positive
113,item arrived damaged and unusable,2,negative
114,waste of money and poor performance,2,negative
115,very durable and reliable product,4,positive
116,really love this item and would buy again,5,positive
117,completely stopped working after a few days,2,negative
118,waste of money and poor performance,2,negative
119,product is fine but packaging was damaged,3,neutral
120,product is fine but packaging was damaged,3,neutral
121,works as expected but shipping was slow,3,neutral
122,excellent quality and very satisfied with the purchase,5,positive
123,the product is okay but nothing special,3,neutral
124,item arrived damaged and unusable,1,negative
125,item arrived damaged and unusable,1,negative
126,cheap materials and bad design,2,negative
127,great value for the price,4,positive
128,works as expected but shipping was slow,3,neutral
129,the product is okay but nothing special,3,neutral
130,really love this item and would buy again,5,positive
131,very durable and reliable product,4,positive
132,this product works great and exceeded my expectations,4,positive
133,acceptable performance overall,3,neutral
134,really love this item and would buy again,5,positive
135,very disappointed with this product,1,negative
136,customer service was unhelpful,1,negative
137,fast shipping and amazing performance,5,positive
138,fast shipping and amazing performance,4,positive
139,works as expected but shipping was slow,3,neutral
140,average quality for the price,3,neutral
141,very durable and reliable product,4,positive
142,fast shipping and amazing performance,4,positive
143,this product works great and exceeded my expectations,5,positive
144,not bad but could be better,3,neutral
145,very durable and reliable product,4,positive
146,cheap materials and bad design,2,negative
147,customer service was unhelpful,2,negative
148,great value for the price,5,positive
149,average quality for the price,3,neutral
150,not bad but could be better,3,neutral
151,very disappointed with this product,2,negative
152,average quality for the price,3,neutral
153,fast shipping and amazing performance,5,positive
154,acceptable performance overall,3,neutral
155,waste of money and poor performance,1,negative
156,great value for the price,4,positive
157,customer service was unhelpful,2,negative
158,cheap materials and bad design,2,negative
159,average quality for the price,3,neutral
160,not bad but could be better,3,neutral
161,completely stopped working after a few days,2,negative
162,terrible quality and broke after one week,2,negative
163,great value for the price,4,positive
164,excellent quality and very satisfied with the purchase,4,positive
165,product is fine but packaging was damaged,3,neutral
166,item arrived damaged and unusable,2,negative
167,terrible quality and broke after one week,2,negative
168,customer service was unhelpful,2,negative
169,fast shipping and amazing performance,5,positive
170,average quality for the price,3,neutral
171,great value for the price,5,positive
172,not bad but could be better,3,neutral
173,not bad but could be better,3,neutral
174,customer service was unhelpful,2,negative
175,very durable and reliable product,5,positive
176,the product is okay but nothing special,3,neutral
177,great value for the price,4,positive
178,customer service was unhelpful,1,negative
179,average quality for the price,3,neutral
180,terrible quality and broke after one week,2,negative
181,really love this item and would buy again,5,positive
182,excellent quality and very satisfied with the purchase,5,positive
183,average quality for the price,3,neutral
184,very disappointed with this product,1,negative
185,average quality for the price,3,neutral
186,average quality for the price,3,neutral
187,acceptable performance overall,3,neutral
188,not bad but could be better,3,neutral
189,completely stopped working after a few days,1,negative
190,customer service was unhelpful,1,negative
191,very durable and reliable product,5,positive
192,average quality for the price,3,neutral
193,great value for the price,5,positive
194,great value for the price,5,positive
195,works as expected but shipping was slow,3,neutral
196,really love this item and would buy again,5,positive
197,really love this item and would buy again,5,positive
198,terrible quality and broke after one week,1,negative
199,great value for the price,4,positive
200,fast shipping and amazing performance,5,positive
201,cheap materials and bad design,1,negative
202,really love this item and would buy again,5,positive
203,acceptable performance overall,3,neutral
204,average quality for the price,3,neutral
205,really love this item and would buy again,4,positive
206,does the job but has some flaws,3,neutral
207,very disappointed with this product,2,negative
208,fast shipping and amazing performance,4,positive
209,acceptable performance overall,3,neutral
210,not bad but could be better,3,neutral
211,item arrived damaged and unusable,2,negative
212,customer service was unhelpful,2,negative
213,not bad but could be better,3,neutral
214,the product is okay but nothing special,3,neutral
215,acceptable performance overall,3,neutral
216,average quality for the price,3,neutral
217,cheap materials and bad design,1,negative
218,waste of money and poor performance,2,negative
219,customer service was unhelpful,2,negative
220,super easy to use and works perfectly,5,positive
221,the product is okay but nothing special,3,neutral
222,terrible quality and broke after one week,1,negative
223,average quality for the price,3,neutral
224,item arrived damaged and unusable,2,negative
225,very disappointed with this product,2,negative
226,average quality for the price,3,neutral
227,average quality for the price,3,neutral
228,customer service was unhelpful,1,negative
229,average quality for the price,3,neutral
230,waste of money and poor performance,1,negative
231,great value for the price,4,positive
232,not bad but could be better,3,neutral
233,very durable and reliable product,5,positive
234,product is fine but packaging was damaged,3,neutral
235,product is fine but packaging was damaged,3,neutral
236,completely stopped working after a few days,1,negative
237,works as expected but shipping was slow,3,neutral
238,really love this item and would buy again,4,positive
239,works as expected but shipping was slow,3,neutral
240,the product is okay but nothing special,3,neutral
241,terrible quality and broke after one week,1,negative
242,acceptable performance overall,3,neutral
243,acceptable performance overall,3,neutral
244,does the job but has some flaws,3,neutral
245,waste of money and poor performance,2,negative
246,very disappointed with this product,1,negative
247,terrible quality and broke after one week,2,negative
248,not bad but could be better,3,neutral
249,works as expected but shipping was slow,3,neutral
250,super easy to use and works perfectly,5,positive
251,cheap materials and bad design,2,negative
252,works as expected but shipping was slow,3,neutral
253,excellent quality and very satisfied with the purchase,4,positive
254,customer service was unhelpful,2,negative
255,the product is okay but nothing special,3,neutral
256,fast shipping and amazing performance,4,positive
257,great value for the price,5,positive
258,item arrived damaged and unusable,2,negative
259,terrible quality and broke after one week,2,negative
260,terrible quality and broke after one week,1,negative
261,great value for the price,4,positive
262,excellent quality and very satisfied with the purchase,5,positive
263,not bad but could be better,3,neutral
264,fast shipping and amazing performance,4,positive
265,waste of money and poor performance,1,negative
266,customer service was unhelpful,1,negative
267,fast shipping and amazing performance,4,positive
268,item arrived damaged and unusable,2,negative
269,acceptable performance overall,3,neutral
270,this product works great and exceeded my expectations,4,positive
271,waste of money and poor performance,1,negative
272,does the job but has some flaws,3,neutral
273,acceptable performance overall,3,neutral
274,average quality for the price,3,neutral
275,really love this item and would buy again,4,positive
276,acceptable performance overall,3,neutral
277,average quality for the price,3,neutral
278,item arrived damaged and unusable,2,negative
279,fast shipping and amazing performance,5,positive
280,very durable and reliable product,5,positive
281,the product is okay but nothing special,3,neutral
282,fast shipping and amazing performance,5,positive
283,very durable and reliable product,4,positive
284,very durable and reliable product,4,positive
285,fast shipping and amazing performance,4,positive
286,completely stopped working after a few days,2,negative
287,super easy to use and works perfectly,4,positive
288,average quality for the price,3,neutral
289,item arrived damaged and unusable,2,negative
290,acceptable performance overall,3,neutral
291,really love this item and would buy again,5,positive
292,excellent quality and very satisfied with the purchase,4,positive
293,super easy to use and works perfectly,5,positive
294,product is fine but packaging was damaged,3,neutral
295,item arrived damaged and unusable,1,negative
296,item arrived damaged and unusable,1,negative
297,acceptable performance overall,3,neutral
298,very durable and reliable product,4,positive
299,waste of money and poor performance,2,negative
300,really love this item and would buy again,4,positive
301,terrible quality and broke after one week,1,negative
302,this product works great and exceeded my expectations,4,positive
303,excellent quality and very satisfied with the purchase,4,positive
304,waste of money and poor performance,2,negative
305,the product is okay but nothing special,3,neutral
306,terrible quality and broke after one week,2,negative
307,great value for the price,4,positive
308,very disappointed with this product,1,negative
309,super easy to use and works perfectly,5,positive
310,super easy to use and works perfectly,5,positive
311,very disappointed with this product,1,negative
312,very disappointed with this product,1,negative
313,acceptable performance overall,3,neutral
314,very durable and reliable product,5,positive
315,customer service was unhelpful,1,negative
316,product is fine but packaging was damaged,3,neutral
317,super easy to use and works perfectly,4,positive
318,excellent quality and very satisfied with the purchase,4,positive
319,very durable and reliable product,5,positive
320,really love this item and would buy again,5,positive
321,very durable and reliable product,5,positive
322,product is fine but packaging was damaged,3,neutral
323,really love this item and would buy again,4,positive
324,works as expected but shipping was slow,3,neutral
325,really love this item and would buy again,5,positive
326,very disappointed with this product,2,negative
327,the product is okay but nothing special,3,neutral
328,really love this item and would buy again,5,positive
329,works as expected but shipping was slow,3,neutral
330,great value for the price,5,positive
331,acceptable performance overall,3,neutral
332,waste of money and poor performance,1,negative
333,this product works great and exceeded my expectations,5,positive
334,waste of money and poor performance,1,negative
335,terrible quality and broke after one week,2,negative
336,item arrived damaged and unusable,2,negative
337,this product works great and exceeded my expectations,5,positive
338,acceptable performance overall,3,neutral
339,very durable and reliable product,5,positive
340,fast shipping and amazing performance,4,positive
341,waste of money and poor performance,1,negative
342,terrible quality and broke after one week,1,negative
343,waste of money and poor performance,2,negative
344,does the job but has some flaws,3,neutral
345,very disappointed with this product,2,negative
346,not bad but could be better,3,neutral
347,fast shipping and amazing performance,4,positive
348,very disappointed with this product,1,negative
349,waste of money and poor performance,2,negative
350,this product works great and exceeded my expectations,4,positive
351,this product works great and exceeded my expectations,4,positive
352,really love this item and would buy again,4,positive
353,the product is okay but nothing special,3,neutral
354,this product works great and exceeded my expectations,4,positive
355,waste of money and poor performance,2,negative
356,terrible quality and broke after one week,1,negative
357,fast shipping and amazing performance,5,positive
358,the product is okay but nothing special,3,neutral
359,works as expected but shipping was slow,3,neutral
360,completely stopped working after a few days,2,negative
361,waste of money and poor performance,2,negative
362,waste of money and poor performance,1,negative
363,item arrived damaged and unusable,2,negative
364,super easy to use and works perfectly,4,positive
365,works as expected but shipping was slow,3,neutral
366,waste of money and poor performance,1,negative
367,not bad but could be better,3,neutral
368,average quality for the price,3,neutral
369,does the job but has some flaws,3,neutral
370,really love this item and would buy again,4,positive
371,average quality for the price,3,neutral
372,acceptable performance overall,3,neutral
373,item arrived damaged and unusable,1,negative
374,cheap materials and bad design,2,negative
375,product is fine but packaging was damaged,3,neutral
376,does the job but has some flaws,3,neutral
377,customer service was unhelpful,2,negative
378,very durable and reliable product,5,positive
379,customer service was unhelpful,2,negative
380,cheap materials and bad design,2,negative
381,product is fine but packaging was damaged,3,neutral
382,product is fine but packaging was damaged,3,neutral
383,terrible quality and broke after one week,2,negative
384,customer service was unhelpful,2,negative
385,terrible quality and broke after one week,2,negative
386,average quality for the price,3,neutral
387,terrible quality and broke after one week,1,negative
388,terrible quality and broke after one week,2,negative
389,fast shipping and amazing performance,5,positive
390,item arrived damaged and unusable,2,negative
391,terrible quality and broke after one week,1,negative
392,works as expected but shipping was slow,3,neutral
393,completely stopped working after a few days,2,negative
394,average quality for the price,3,neutral
395,average quality for the price,3,neutral
396,does the job but has some flaws,3,neutral
397,this product works great and exceeded my expectations,4,positive
398,this product works great and exceeded my expectations,5,positive
399,excellent quality and very satisfied with the purchase,4,positive
400,great value for the price,4,positive
401,completely stopped working after a few days,2,negative
402,great value for the price,4,positive
403,item arrived damaged and unusable,1,negative
404,cheap materials and bad design,2,negative
405,really love this item and would buy again,5,positive
406,does the job but has some flaws,3,neutral
407,customer service was unhelpful,1,negative
408,completely stopped working after a few days,1,negative
409,product is fine but packaging was damaged,3,neutral
410,customer service was unhelpful,1,negative
411,waste of money and poor performance,1,negative
412,not bad but could be better,3,neutral
413,product is fine but packaging was damaged,3,neutral
414,not bad but could be better,3,neutral
415,the product is okay but nothing special,3,neutral
416,terrible quality and broke after one week,1,negative
417,cheap materials and bad design,2,negative
418,item arrived damaged and unusable,1,negative
419,not bad but could be better,3,neutral
420,really love this item and would buy again,5,positive
421,does the job but has some flaws,3,neutral
422,customer service was unhelpful,2,negative
423,not bad but could be better,3,neutral
424,the product is okay but nothing special,3,neutral
425,item arrived damaged and unusable,2,negative
426,really love this item and would buy again,5,positive
427,very disappointed with this product,2,negative
428,fast shipping and amazing performance,5,positive
429,terrible quality and broke after one week,2,negative
430,excellent quality and very satisfied with the purchase,4,positive
431,average quality for the price,3,neutral
432,item arrived damaged and unusable,1,negative
433,acceptable performance overall,3,neutral
434,the product is okay but nothing special,3,neutral
435,does the job but has some flaws,3,neutral
436,average quality for the price,3,neutral
437,fast shipping and amazing performance,4,positive
438,works as expected but shipping was slow,3,neutral
439,acceptable performance overall,3,neutral
440,fast shipping and amazing performance,5,positive
441,completely stopped working after a few days,1,negative
442,does the job but has some flaws,3,neutral
443,product is fine but packaging was damaged,3,neutral
444,completely stopped working after a few days,2,negative
445,customer service was unhelpful,1,negative
446,the product is okay but nothing special,3,neutral
447,customer service was unhelpful,1,negative
448,acceptable performance overall,3,neutral
449,completely stopped working after a few days,2,negative
450,does the job but has some flaws,3,neutral
451,really love this item and would buy again,4,positive
452,works as expected but shipping was slow,3,neutral
453,completely stopped working after a few days,1,negative
454,excellent quality and very satisfied with the purchase,5,positive
455,really love this item and would buy again,4,positive
456,item arrived damaged and unusable,2,negative
457,really love this item and would buy again,4,positive
458,does the job but has some flaws,3,neutral
459,this product works great and exceeded my expectations,4,positive
460,cheap materials and bad design,2,negative
461,fast shipping and amazing performance,4,positive
462,great value for the price,4,positive
463,does the job but has some flaws,3,neutral
464,super easy to use and works perfectly,5,positive
465,terrible quality and broke after one week,1,negative
466,works as expected but shipping was slow,3,neutral
467,excellent quality and very satisfied with the purchase,4,positive
468,product is fine but packaging was damaged,3,neutral
469,great value for the price,5,positive
470,super easy to use and works perfectly,4,positive
471,cheap materials and bad design,1,negative
472,the product is okay but nothing special,3,neutral
473,very durable and reliable product,4,positive
474,average quality for the price,3,neutral
475,cheap materials and bad design,2,negative
476,product is fine but packaging was damaged,3,neutral
477,super easy to use and works perfectly,5,positive
478,not bad but could be better,3,neutral
479,great value for the price,4,positive
480,fast shipping and amazing performance,5,positive
481,average quality for the price,3,neutral
482,this product works great and exceeded my expectations,4,positive
483,product is fine but packaging was damaged,3,neutral
484,very disappointed with this product,2,negative
485,very disappointed with this product,2,negative
486,great value for the price,5,positive
487,excellent quality and very satisfied with the purchase,5,positive
488,does the job but has some flaws,3,neutral
489,does the job but has some flaws,3,neutral
490,great value for the price,5,positive
491,customer service was unhelpful,2,negative
492,not bad but could be better,3,neutral
493,very disappointed with this product,2,negative
494,completely stopped working after a few days,2,negative
495,does the job but has some flaws,3,neutral
496,super easy to use and works perfectly,4,positive
497,completely stopped working after a few days,1,negative
498,customer service was unhelpful,2,negative
499,acceptable performance overall,3,neutral
500,completely stopped working after a few days,2,negative
